lfnr,krnr,agglvl,name,wkr,regbez,agg2833k,agg2833v,krnrv,c25wohn,c25lselb,c25lgewb,c25langs,c25larb,c25lmith,c25iselb,c25igewb,c25iangs,c25iarb,c25imith,c25hselb,c25hangs,c25harb,c25hmith,c25vselb,c25vangs,c25varb,c25vmith,c25gselb,c25ggewb,c25gangs,c25garb,c25gmith,c25dselb,c25dgewb,c25dangs,c25darb,c25dmith,c25dhaus,c25bland,c25bwerk,c25bhand,c25bverw,c25bgsun,c25bhaus,c25selb,c25hsgew,c25anges,c25arbei,c25mith,c25berwt,c25bbrlo,c25pop,c25prot,c25kath,c25juden,c33pop1,c33erwp,c33werwp,c33erwtt,c33erlos,c33brlos,c33aohb,c33waohb,c33land,c33indu,c33hndl,c33dnst,c33haus,c33selb,c33mith,c33beamt,c33angs,c33arbei,c33hsang,c33eloan,c33eloar,c33eloha,c33pop2,c33lv,rwz1,rwz2a,rwz2b,rwz2c,rwz2d,rwz3,rwz4a,rwz4b,rwz4c,rwz5,rwz6,rwz7,rwz8a,rwz8b,rwz8c,rwz8d,rwz9,rwz10a,rwz10b,rwz10c,rwz11,alos30d,alu30d,kru30d,we30d,alos31d,alu31d,kru31d,we31d,alos32d,alu32d,kru32d,we32d
4463,889,5,"BAMBERG II L (-30.9.29)",26,2,0,0,889,29584,8106,0,141,1472,7664,1577,288,305,5395,86,407,305,341,154,76,703,63,1,75,0,12,5,0,0,0,3,8,0,119,17383,7363,1207,843,92,130,10241,288,1469,7284,7905,27018,2566,29584,2554,26900,110,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4464,889,8,"GAUSTADT",26,2,4467,4467,889,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2483,113,2364,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4465,889,9,"REST-BAMBERG II L (-30.9.29)",26,2,4469,4469,889,29584,8106,0,141,1472,7664,1577,288,305,5395,86,407,305,341,154,76,703,63,1,75,0,12,5,0,0,0,3,8,0,119,17383,7363,1207,843,92,130,10241,288,1469,7284,7905,27018,2566,27101,2441,24536,110,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4466,890,5,"BAMBERG L",26,2,0,0,890,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,58245,31987,14160,29675,2312,4115,22143,13472,21226,5812,1512,803,322,8150,13463,563,644,6535,320,102,2159,51,58245,31900,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4467,890,8,"GAUSTADT",26,2,4467,4467,890,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2811,191,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4468,890,8,"HALLSTADT",26,2,4468,4468,890,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2769,853,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4469,890,9,"REST-BAMBERG L",26,2,4469,4469,890,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,58245,31987,14160,29675,2312,4115,22143,13472,21226,5812,1512,803,322,8150,13463,563,644,6535,320,102,2159,51,52665,30856,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4470,891,4,"BAMBERG S",26,2,4470,4470,891,50152,1130,0,107,262,808,4022,109,2823,12777,173,3163,6294,2593,417,537,4325,235,0,435,0,276,335,7,0,0,1,60,0,1593,2307,19795,12467,5097,1053,1654,9287,109,13826,16262,1405,42373,7779,50152,6796,42245,972,54161,25180,8553,21290,3890,6810,22171,16351,1041,9085,5986,3716,1462,4085,1420,2899,3978,7524,1384,821,2953,116,54161,1957,50152,8641,7105,16,95,12772,413,513,74,51956,48390,443340,189,497,280,34,21,10934,909,929,1266,2466,1259,500,707,3503,1085,1100,1318,3665,552,823,2290
4471,892,5,"BAYREUTH L",26,2,0,0,908,28618,5678,0,92,2191,6421,1649,72,300,6988,85,510,420,597,260,93,366,63,0,77,0,36,7,0,0,0,9,47,0,155,14382,9022,1787,522,120,211,8007,72,1223,9893,6766,26044,2574,28618,24072,4538,0,36957,19703,8130,17582,2121,2711,14543,9348,10684,5040,1144,482,232,4334,6514,327,410,5768,229,72,2001,48,36957,15331,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4472,892,8,"BERNECK IM FICHTELGEBIRGE",26,2,4472,4472,908,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2310,162,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
