SPO_13,OVP_13,FPO_13,BZO_13,GRUNE_13,FRANK_13,NEOS_13,SONST_13,NW_13,SPO_17,OVP_17,FPO_17,GRUNE_17,NEOS_17,PILZ_17,SONST_17,NW_17
488,491,279,31,138,116,65,26,797,464,587,377,46,53,53,15,915
312,507,133,11,42,67,18,14,294,273,539,209,9,17,21,5,335
224,175,83,13,27,23,19,6,164,228,195,106,7,16,15,2,141
265,149,66,5,7,27,4,7,169,218,177,96,1,4,7,5,213
289,127,88,9,42,26,9,11,143,215,156,147,9,12,26,7,165
283,254,121,26,47,60,32,11,249,281,303,181,12,32,19,4,231
411,200,142,13,48,54,30,8,253,378,266,203,15,18,13,7,256
631,177,211,10,45,53,22,9,319,546,222,324,17,21,18,22,333
190,103,66,2,14,12,1,2,112,160,108,98,2,6,9,6,114
175,148,69,6,10,26,4,0,86,146,146,97,4,6,8,2,128
158,187,51,5,16,17,6,4,84,117,200,90,9,6,1,2,102
130,77,25,5,6,7,5,4,51,100,73,40,3,4,6,3,55
222,174,71,6,24,20,7,4,146,196,174,123,7,8,10,6,153
243,251,155,21,64,70,43,8,291,236,337,236,10,28,28,5,360
649,310,233,24,48,54,30,8,491,536,359,351,17,16,16,16,494
155,344,150,20,25,48,17,7,220,123,352,248,6,13,19,11,197
381,176,137,17,25,34,10,2,284,388,175,240,6,8,9,3,216
869,497,330,49,117,121,35,27,851,804,583,507,33,43,43,13,867
212,154,71,6,22,30,12,1,151,190,180,115,6,8,5,1,154
379,104,236,24,47,74,13,8,370,311,186,362,16,16,24,6,315
348,298,174,5,30,53,14,9,282,323,311,269,8,16,16,19,256
244,161,175,5,53,49,12,8,239,225,188,266,21,5,17,8,227
353,210,173,13,25,28,12,5,199,315,240,249,8,8,9,5,208
298,159,184,20,35,25,10,6,261,238,202,245,10,18,24,5,225
334,289,241,38,102,82,33,10,373,327,377,336,21,48,39,14,334
188,115,67,12,10,21,3,5,145,182,144,96,2,6,11,1,118
470,372,150,14,31,44,9,6,326,373,382,248,6,16,12,6,333
294,143,118,13,28,43,13,8,197,248,173,210,3,8,9,7,185
371,407,278,54,124,91,48,7,507,353,485,431,38,41,46,17,486
1278,796,765,80,282,310,123,41,1936,1171,1130,1063,83,142,113,54,1894
1127,651,621,59,221,166,89,51,1428,948,744,1065,79,119,81,36,1345
723,344,391,47,66,117,28,19,785,607,452,584,13,32,31,4,710
480,124,189,13,53,50,16,11,385,371,199,350,12,21,16,13,353
476,178,134,11,38,58,20,3,224,353,269,228,5,14,18,17,245
136,176,52,3,24,31,18,7,138,106,204,96,14,11,11,6,116
500,262,258,16,57,71,11,13,517,460,346,325,6,19,29,5,456
324,230,87,11,22,29,11,5,135,254,264,131,8,9,8,12,175
185,161,67,8,20,38,6,5,199,157,194,137,5,10,14,3,176
175,201,82,3,31,34,5,6,155,143,208,153,10,9,13,5,154
251,236,160,16,24,29,12,5,217,204,256,245,4,8,14,15,221
279,231,158,19,57,48,25,6,284,220,299,275,10,27,21,10,246
227,79,99,16,19,37,19,2,119,167,133,171,5,22,9,6,130
192,114,95,9,22,32,10,3,144,151,152,129,12,20,11,5,114
66,93,28,1,4,9,0,0,50,57,88,46,0,0,3,1,49
86,64,16,2,3,11,5,0,49,68,54,31,0,2,1,0,59
13386,5823,7111,4754,7841,2743,2163,778,29338,14320,12497,13257,1646,2570,2470,1022,26190
9869,2933,5028,2634,3643,2119,1150,436,17203,9657,6696,9608,683,1378,1288,646,14826
180,250,87,58,47,37,15,5,352,180,283,178,10,24,10,7,330
1245,884,576,333,321,247,100,28,1930,1227,1162,1065,71,132,120,45,1665
354,464,274,147,112,86,29,19,711,324,552,483,16,41,19,21,704
557,565,212,183,152,93,57,7,954,494,699,472,32,56,46,21,926
391,205,148,60,67,56,24,4,386,335,282,247,10,19,19,9,387
203,163,176,74,48,32,7,7,304,181,199,226,15,35,12,12,312
155,439,51,41,33,27,9,2,407,128,458,128,11,17,12,9,349
1594,393,709,431,446,280,120,72,2243,1411,985,1520,69,148,139,73,1942
562,201,152,113,156,95,29,18,683,507,316,337,28,52,55,28,675
1513,399,623,453,418,266,115,65,1966,1336,791,1265,92,134,157,60,1766
